url,img,alt_text
/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGMFREBAHZQGY9&lid=LSTMOBGMFREBAHZQGY9TPTG8U&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGMFREBAHZQGY9.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/w/k/-original-imagg2abzhxjckxu.jpeg?q=70,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)"
/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm537fc2aa73747?pid=MOBGHBZHB7YJT5HF&lid=LSTMOBGHBZHB7YJT5HFKKNVFF&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBZHB7YJT5HF.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/2/p/8/-original-imagg2a4rmk94gay.jpeg?q=70,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)"
/oneplus-10r-forest-green-256-gb/p/itm10b9b43146ada?pid=MOBGHBNGYGSTWQCS&lid=LSTMOBGHBNGYGSTWQCSN47JL0&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBNGYGSTWQCS.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70,"OnePlus 10R (Forest Green, 256 GB)"
/oneplus-10r-forest-green-128-gb/p/itm10b9b43146ada?pid=MOBGGFT7SVDZFATY&lid=LSTMOBGGFT7SVDZFATYTQQSLU&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGGFT7SVDZFATY.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70,"OnePlus 10R (Forest Green, 128 GB)"
/oneplus-11-5g-titan-black-128-gb/p/itm668119d115289?pid=MOBGMUGYNMCMR2AF&lid=LSTMOBGMUGYNMCMR2AFRGSTEM&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGMUGYNMCMR2AF.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/j/u/11-5g-b0bqjmrxqv-oneplus-original-imagmugyd8yzjczg.jpeg?q=70,"OnePlus 11 5G (Titan Black, 128 GB)"
/oneplus-11-5g-eternal-green-128-gb/p/itm668119d115289?pid=MOBGMUGSSSJGKNDU&lid=LSTMOBGMUGSSSJGKNDUCGZ9IN&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGMUGSSSJGKNDU.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/8/3/11-5g-b0bqjlcqd3-oneplus-original-imagmugsquuygsbg.jpeg?q=70,"OnePlus 11 5G (?Eternal Green, 128 GB)"
/oneplus-11-5g-titan-black-256-gb/p/itm668119d115289?pid=MOBGMUH476DXG3ZY&lid=LSTMOBGMUH476DXG3ZYYIXEOQ&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGMUH476DXG3ZY.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/j/u/11-5g-b0bqjmrxqv-oneplus-original-imagmugyd8yzjczg.jpeg?q=70,"OnePlus 11 5G (Titan Black, 256 GB)"
/oneplus-10t-5g-moonstone-black-256-gb/p/itm9a8677129b2bf?pid=MOBGHBNGWSNHGCE3&lid=LSTMOBGHBNGWSNHGCE372IHLX&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBNGWSNHGCE3.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/k/9/-original-imaghfmfhfqc9fxz.jpeg?q=70,"OnePlus 10T 5G (Moonstone Black, 256 GB)"
/oneplus-10t-5g-jade-green-256-gb/p/itm3f637fb950838?pid=MOBGHBNGYE5Z857G&lid=LSTMOBGHBNGYE5Z857GUGIQXV&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBNGYE5Z857G.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/9/g/-original-imagkn6dknzhfhck.jpeg?q=70,"OnePlus 10T 5G (Jade Green, 256 GB)"
/oneplus-10r-sierra-black-128-gb/p/itm10b9b43146ada?pid=MOBGHBNGX9ZK6HQV&lid=LSTMOBGHBNGX9ZK6HQVT7BCLB&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBNGX9ZK6HQV.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/q/v/-original-imageyq5akea25we.jpeg?q=70,"OnePlus 10R (Sierra Black, 128 GB)"
/oneplus-9-5g-arctic-sky-128-gb/p/itmc5d1c40d3c10e?pid=MOBGDHV9RYDJHBWY&lid=LSTMOBGDHV9RYDJHBWYPTUNFF&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_11&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGDHV9RYDJHBWY.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/l26hdow0/mobile/i/j/r/9-mt2111-oneplus-original-imagdh239er3qnz2.jpeg?q=70,"OnePlus 9 5G (Arctic Sky, 128 GB)"
/oneplus-10r-5g-sierra-black-256-gb/p/itmccf45a394ea16?pid=MOBGHBZHPKYXW8PA&lid=LSTMOBGHBZHPKYXW8PA2TBIOV&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBZHPKYXW8PA.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/8/d/t/-original-imaggceexfwc4huw.jpeg?q=70,"OnePlus 10R 5G (Sierra Black, 256 GB)"
/oneplus-11-5g-eternal-green-256-gb/p/itm668119d115289?pid=MOBGMUHCGYAU8WX6&lid=LSTMOBGMUHCGYAU8WX6ZFKOMX&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGMUHCGYAU8WX6.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/8/3/11-5g-b0bqjlcqd3-oneplus-original-imagmugsquuygsbg.jpeg?q=70,"OnePlus 11 5G (?Eternal Green, 256 GB)"
/oneplus-10-pro-5g-emerald-forest-256-gb/p/itmcd1af0daf0394?pid=MOBGHBNGR4XQDEDQ&lid=LSTMOBGHBNGR4XQDEDQUT8KKK&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBNGR4XQDEDQ.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/n/h/-original-imagdhvtjkha293f.jpeg?q=70,"OnePlus 10 Pro 5G (Emerald Forest, 256 GB)"
/oneplus-10-pro-5g-volcanic-black-256-gb/p/itmcd1af0daf0394?pid=MOBGHBZHAGG4NYJG&lid=LSTMOBGHBZHAGG4NYJGV18V18&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBZHAGG4NYJG.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/i/g/-original-imaggcee7yprwrhx.jpeg?q=70,"OnePlus 10 Pro 5G (Volcanic Black, 256 GB)"
/oneplus-10r-5g-sierra-black-256-gb/p/itmccf45a394ea16?pid=MOBGGA29CAYJC3QH&lid=LSTMOBGGA29CAYJC3QHQRBKEC&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_16&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGGA29CAYJC3QH.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/b/s/-original-imaggceexfwc4huw.jpeg?q=70,"OnePlus 10R 5G (Sierra Black, 256 GB)"
/oneplus-10-pro-5g-volcanic-black-128-gb/p/itm6f3bc476a043f?pid=MOBGHBZHAJ2UZYBD&lid=LSTMOBGHBZHAJ2UZYBDA1EMZM&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_17&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBZHAJ2UZYBD.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/i/g/-original-imaggcee7yprwrhx.jpeg?q=70,"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)"
/oneplus-9-5g-astral-black-128-gb/p/itmc5d1c40d3c10e?pid=MOBGDH2PKQMJZFVP&lid=LSTMOBGDH2PKQMJZFVP4S5SQT&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_18&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGDH2PKQMJZFVP.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/l26hdow0/mobile/m/m/h/9-mt2111-oneplus-original-imagdh2zh7hbwyxh.jpeg?q=70,"OnePlus 9 5G (Astral Black, 128 GB)"
/oneplus-9-5g-astral-black-256-gb/p/itmc5d1c40d3c10e?pid=MOBGDHT9UBVEHVVF&lid=LSTMOBGDHT9UBVEHVVFUI84RY&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_19&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGDHT9UBVEHVVF.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/l26hdow0/mobile/m/m/h/9-mt2111-oneplus-original-imagdh2zh7hbwyxh.jpeg?q=70,"OnePlus 9 5G (Astral Black, 256 GB)"
/oneplus-10-pro-5g-emerald-forest-128-gb/p/itmca601c423f05f?pid=MOBGHBZHP7QQFFE8&lid=LSTMOBGHBZHP7QQFFE88IRMTX&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_20&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBZHP7QQFFE8.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/j/q/-original-imagkgshx9kfayxq.jpeg?q=70,"OnePlus 10 Pro 5G (Emerald Forest, 128 GB)"
/oneplus-10t-5g-moonstone-black-256-gb/p/itm9a8677129b2bf?pid=MOBGHBNGHKM9BUJZ&lid=LSTMOBGHBNGHKM9BUJZXOP2TO&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_21&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBNGHKM9BUJZ.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/k/9/-original-imaghfmfhfqc9fxz.jpeg?q=70,"OnePlus 10T 5G (Moonstone Black, 256 GB)"
/oneplus-9-pro-5g-morning-mist-128-gb/p/itm3892a7120e77b?pid=MOBGDM2PF3ZPKZPY&lid=LSTMOBGDM2PF3ZPKZPYNAFL2Q&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_22&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGDM2PF3ZPKZPY.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/l27wtjk0/mobile/a/c/h/9-pro-5g-le2121-oneplus-original-imagdm2pfyx3stpp.jpeg?q=70,"OnePlus 9 Pro 5G (Morning Mist, 128 GB)"
/oneplus-10t-5g-moonstone-black-128-gb/p/itm6863515112e3e?pid=MOBGHBZHGQFJYYG5&lid=LSTMOBGHBZHGQFJYYG5AAHIMC&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_23&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBZHGQFJYYG5.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/i/f/-original-imaggceewkgkxthq.jpeg?q=70,"OnePlus 10T 5G (Moonstone Black, 128 GB)"
/oneplus-9-5g-winter-mist-128-gb/p/itmfd87ef4248ced?pid=MOBGDHTTVRRSCM8Z&lid=LSTMOBGDHTTVRRSCM8ZUH569J&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_24&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGDHTTVRRSCM8Z.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/l27wtjk0/mobile/w/d/x/9-5g-mt2111-oneplus-original-imagdhtmgbg6vyrd.jpeg?q=70,"OnePlus 9 5G (Winter Mist, 128 GB)"
